number,model,rating,offer_price,original_price,price_difference
1,oneplus 7 pro gift card (reserve for store pickup-part payment only),0,2000.00,2000.00,0.0
2,oppo a1k (red 32 gb 2 gb ram),0,8490.00,10990.00,2500.0
3,oppo a1k (black 32 gb 2 gb ram),0,8490.00,10990.00,2500.0
4,boat mumbai indians edition earphones (bassheads 100 blue),0,499.00,1290.00,791.0
5,marshall major iii headphones (ms-maj3-wht white),0,6499.00,6499.00,0.0
6,marshall major iii headphones (ms-maj3-brn brown),0,6499.00,6499.00,0.0
7,marshall major iii bluetooth headphones (ms-maj3bt-wht white),0,12999.00,12999.00,0.0
8,marshall major iii headphones (ms-maj3-blk black),0,6499.00,6499.00,0.0
9,marshall major iii bluetooth headphones (ms-maj3bt-brn brown),0,12999.00,12999.00,0.0
10,marshall major iii bluetooth headphones (ms-maj3bt-blk black),0,12999.00,12999.00,0.0
11,vivo v15 (red 64 gb 6 gb ram),0,21990.00,26990.00,5000.0
12,vivo v15 (black 64 gb 6 gb ram),0,21990.00,26990.00,5000.0
13,vivo v15 (blue 64 gb 6 gb ram),0,21990.00,26990.00,5000.0
14,vivo y91i (blue 16 gb 2 gb ram),0,7990.00,8990.00,1000.0
15,vivo y91i (fusion black 16 gb 2 gb ram),0,7990.00,8990.00,1000.0
16,redmi redmi note 7 (onyx black 64 gb 4 gb ram),0,12499.00,14999.00,2500.0
17,redmi redmi note 7 (ruby red 64 gb 4 gb ram),0,12499.00,14999.00,2500.0
18,redmi redmi note 7 (sapphire blue 64 gb 4 gb ram),0,12499.00,14999.00,2500.0
19,redmi redmi note 7 (onyx black 32 gb 3 gb ram),0,10499.00,12999.00,2500.0
20,redmi redmi note 7 (sapphire blue 32 gb 3 gb ram),0,10499.00,12999.00,2500.0
21,oppo f11 pro (aurora green 64 gb 6 gb ram),0,24990.00,28990.00,4000.0
22,oppo f11 pro (thunder black 64 gb 6 gb ram),0,24990.00,28990.00,4000.0
23,vivo v15 pro (blue 128 gb 6 gb ram),0,28990.00,32990.00,4000.0
24,nokia 6.1 plus (black 64 gb 6 gb ram),0,16999.00,20499.00,3500.0
25,samsung galaxy a50 (white 64 gb 6 gb ram),0,22990.00,25000.00,2010.0
26,samsung galaxy a50 (blue 64 gb 4 gb ram),0,19990.00,21000.00,1010.0
27,samsung galaxy a50 (blue 64 gb 6 gb ram),0,22990.00,25000.00,2010.0
28,samsung galaxy a50 (black 64 gb 6 gb ram),0,22990.00,25000.00,2010.0
29,samsung galaxy a50 (white 64 gb 4 gb ram),0,19990.00,21000.00,1010.0
30,samsung galaxy a30 (red 64 gb 4 gb ram),0,15490.00,18000.00,2510.0
31,samsung galaxy a50 (black 64 gb 4 gb ram),0,19990.00,21000.00,1010.0
32,samsung galaxy a30 (black 64 gb 4 gb ram),0,15490.00,18000.00,2510.0
33,samsung galaxy a10 (black 32 gb 2 gb ram),0,7990.00,9990.00,2000.0
34,samsung galaxy a30 (blue 64 gb 4 gb ram),0,15490.00,18000.00,2510.0
35,samsung galaxy a10 (blue 32 gb 2 gb ram),0,7990.00,9990.00,2000.0
36,duracell pb10050 10050 mah power bank (5002732 black),0,3299.00,3999.00,700.0
37,duracell pb6700 6700 mah power bank (5003094 black),0,2499.00,2999.00,500.0
38,stuffcool usb type-c to 3.5 mm aux digital audio connector (usbcaux-blk black),0,1999.00,2499.00,500.0
39,samsung galaxy s10 plus (ceramic black 512 gb 8 gb ram),0,91900.00,99000.00,7100.0
40,samsung galaxy s10 (blue 128 gb 8 gb ram),0,66900.00,71000.00,4100.0
