number,model,rating,final_price, original_price, price_difference
1,lenovo k6 power (32gb 3gb),3.7,  8999, 12999,4000.0
2,redmi note 6 pro (64gb 4gb ram),4.3,  12747, 16999,4252.0
3,blackberry bold 5 9790 (8gb black),3.2,  3990, 10999,7009.0
4,oppo a3s (16gb 2gb ram) - 19:9 full screen display,4.2,  8990, 11990,3000.0
5,micromax canvas juice 3 q392 (8gb cosmic gray),3.8,  4738, 9499,4761.0
6,gionee black a1 lite 32gb,3.7,  7800, 11999,4199.0
7,nokia 1600 black 1600 32 mb,5.0,  999, 4999,4000.0
8,asus zenfone 2 laser ze500kl (8gb),3.9,  5999, 9999,4000.0
9,oppo a83 (16gb 2gb ram),4.5,  8990, 9990,1000.0
10,redmi note 6 pro (64gb 4gb ram),4.3,  12498, 15999,3501.0
11,vivo y95 (64gb 4gb ram),4.4,  14990, 18990,4000.0
12,infocus m812 (16gb 3gb ram),3.0,  6499, 9999,3500.0
13,redmi note 6 pro (64gb 4gb ram) ,4.3,  12697, 16999,4302.0
14,samsung galaxy j2 2018 (16gb 2gb ram),4.1,  7490, 8200,710.0
15,blackberry torch 9810 zinc grey,3.5,  5899, 13999,8100.0
16,oppo a3s (32gb 3gb ram) - 19:9 full screen display,4.1,  10990, 13990,3000.0
17,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,4.0,  23990, 28990,5000.0
18,karbonn titanium frames s7 (32gb 3gb ram),3.9,  6499, 10990,4491.0
19,micromax blue b5 16gb,0,  4650, 6999,2349.0
20,asus zenfone 2 ze551ml silver,3.2999999999999994,  8999, 14999,6000.0
21,lenovo k6 power (32gb 3gb),3.7,  8999, 12999,4000.0
22,redmi note 6 pro (64gb 4gb ram),4.3,  12747, 16999,4252.0
23,blackberry bold 5 9790 (8gb black),3.2,  3990, 10999,7009.0
24,oppo a3s (16gb 2gb ram) - 19:9 full screen display,4.2,  8990, 11990,3000.0
25,micromax canvas juice 3 q392 (8gb cosmic gray),3.8,  4738, 9499,4761.0
26,gionee black a1 lite 32gb,3.7,  7800, 11999,4199.0
27,nokia 1600 black 1600 32 mb,5.0,  999, 4999,4000.0
28,asus zenfone 2 laser ze500kl (8gb),3.9,  5999, 9999,4000.0
29,oppo a83 (16gb 2gb ram),4.5,  8990, 9990,1000.0
30,redmi note 6 pro (64gb 4gb ram),4.3,  12498, 15999,3501.0
31,vivo y95 (64gb 4gb ram),4.4,  14990, 18990,4000.0
32,infocus m812 (16gb 3gb ram),3.0,  6499, 9999,3500.0
33,redmi note 6 pro (64gb 4gb ram) ,4.3,  12697, 16999,4302.0
34,samsung galaxy j2 2018 (16gb 2gb ram),4.1,  7490, 8200,710.0
35,blackberry torch 9810 zinc grey,3.5,  5899, 13999,8100.0
36,oppo a3s (32gb 3gb ram) - 19:9 full screen display,4.1,  10990, 13990,3000.0
37,vivo v11 pro (64gb 6gb ram) in-display fps & full view notch,4.0,  23990, 28990,5000.0
38,karbonn titanium frames s7 (32gb 3gb ram),3.9,  6499, 10990,4491.0
39,micromax blue b5 16gb,0,  4650, 6999,2349.0
40,asus zenfone 2 ze551ml silver,3.2999999999999994,  8999, 14999,6000.0
41,lenovo k6 power (32gb 3gb),3.7,  8999, 12999,4000.0
42,redmi note 6 pro (64gb 4gb ram),4.3,  12747, 16999,4252.0
